"id","hotel_name","continent","country","city","address","services","eco_mark"
"1","Anantara Sahara Tozeur Resort & Villas","Afrique","Tunisie","Tozeur"," Mrah Lahwar 2200 Tozeur Tunisie","Wi-Fi gratuit|Occasions spéciales|Réunions|93 Chambres|Parking|Centre sportif|Piscine|Spa|Climatisation - Contrôle de la climatisation|Accessibilité","False"
"2","NH Bariloche Edelweiss","Amérique","Argentine","Bariloche"," San Martin 202,  8400 Bariloche Argentine","Wi-Fi gratuit|Parking|Centre sportif|Piscine|100%|Eco-friendly|Animaux|Accessibilité|Réunions|95 Chambres","True"
"3","NH Buenos Aires 9 de Julio","Amérique","Argentine","Buenos Aires"," Av. Cerrito 154-156, C1010AAD Buenos Aires Argentine","Wi-Fi gratuit|Parking|Centre sportif|Navette|Piscine|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|175 Chambres","True"
"4","NH Buenos Aires City","Amérique","Argentine","Buenos Aires"," Bolivar, 160, C1066AAD Buenos Aires Argentine","Wi-Fi gratuit|Parking|Centre sportif|Piscine|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Occasions spéciales|Réunions|302 Chambres","False"
"5","NH Buenos Aires Florida","Amérique","Argentine","Buenos Aires"," San Martin, 839, C1004AAQ Buenos Aires Argentine","Wi-Fi gratuit|Parking|100%|Centre sportif|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|162 Chambres","False"
"6","NH Buenos Aires Latino","Amérique","Argentine","Buenos Aires"," Suipacha, 309, C1008AAG Buenos Aires Argentine","Wi-Fi gratuit|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Animaux|Occasions spéciales|Réunions|100 Chambres","False"
"7","NH Buenos Aires Tango","Amérique","Argentine","Buenos Aires"," Cerrito 550, C1010AAL Buenos Aires Argentine","Wi-Fi gratuit|Parking|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Occasions spéciales|Réunions|108 Chambres|Accessibilité","True"
"8","NH Collection Buenos Aires Centro Histórico","Amérique","Argentine","Buenos Aires"," Bolivar, 120, C1066AAD Buenos Aires Argentine","Wi-Fi gratuit|Parking|Centre sportif|Navette|Piscine|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|67 Chambres","False"
"9","NH Collection Buenos Aires Crillon","Amérique","Argentine","Buenos Aires"," Avda. Santa Fe 796, C1059ABO Buenos Aires Argentine","Wi-Fi gratuit|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Navette|Occasions spéciales|Réunions|96 Chambres","False"
"10","NH Collection Buenos Aires Jousten","Amérique","Argentine","Buenos Aires"," Avda. Corrientes, 280, C1043AAP Buenos Aires Argentine","Wi-Fi gratuit|Centre sportif|100%|Navette|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|84 Chambres","True"
"11","NH Collection Buenos Aires Lancaster","Amérique","Argentine","Buenos Aires"," Av. Cordoba 405, C1054AAD Buenos Aires Argentine","Wi-Fi gratuit|Centre sportif|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions|115 Chambres","True"
"12","NH Córdoba Panorama","Amérique","Argentine","Cordoba"," Marcelo T. de Alvear (La Cañada) 251, X5000KGE Cordoba Argentine","Wi-Fi gratuit|Centre sportif|Piscine|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Occasions spéciales|Réunions|138 Chambres","True"
"13","NH Córdoba Urbano","Amérique","Argentine","Cordoba"," Marcelo T.de Alvear (La Cañada), 363, X5000KGF Cordoba Argentine","Wi-Fi gratuit|Parking|Piscine|100%|Climatisation - Contrôle de la climatisation|Animaux|Occasions spéciales|Réunions|72 Chambres","False"
"14","NH Gran Hotel Provincial","Amérique","Argentine","Mar del Plata"," Av Patricio Peralta Ramos 2502, B7600JUZ Mar del Plata Argentine","Wi-Fi gratuit|Parking|Centre sportif|Piscine|Spa|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Baby-sitter|Occasions spéciales|Réunions|460 Chambres","False"
"15","NH Hotel Casino","Amérique","Argentine","Mar del Plata"," Blvd Patricio Peralta Ramos 2300, 7600 Mar del Plata Argentine","Wi-Fi gratuit|Parking|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|65 Chambres","False"
"16","NH Mendoza Cordillera","Amérique","Argentine","Mendoza"," Avda.España, 1324, M5500DWN Mendoza Argentine","Wi-Fi gratuit|Parking|Centre sportif|Navette|Piscine|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Baby-sitter|Occasions spéciales|Réunions|105 Chambres","False"
"17","NH Curitiba The Five","Amérique","Brésil","Curitiba"," Rua Nunes Machado, 68 Curitiba, 80250-000 Curitiba Brésil","Wi-Fi gratuit|Parking|Centre sportif|Spa|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Occasions spéciales|Réunions|180 Chambres","False"
"18","NH Antofagasta","Amérique","Chili","Antofagasta"," Avenida Ejercito 01151, 1240000 Antofagasta Chili","Wi-Fi gratuit|Parking|Centre sportif|Navette|Piscine|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Occasions spéciales|Réunions|139 Chambres","False"
"19","NH Iquique","Amérique","Chili","Iquique"," Avenida Arturo Prat 3939, 1111500 Iquique Chili","Wi-Fi gratuit|Parking|Piscine|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Occasions spéciales|Réunions|78 Chambres","False"
"20","NH Ciudad de Santiago","Amérique","Chili","Santiago"," Avda. Condell, 40, 11100 Santiago Chili","Wi-Fi gratuit|Centre sportif|Navette|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Occasions spéciales|Réunions|122 Chambres","False"
"21","NH Collection Plaza Santiago","Amérique","Chili","Santiago"," Avenida Vitacura 2610, Las Condes, 7550098 Santiago Chili","Wi-Fi gratuit|Parking|Centre sportif|Navette|Piscine|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Occasions spéciales|Réunions|159 Chambres","False"
"22","NH Collection Santiago Casacostanera","Amérique","Chili","Santiago"," Nueva Costanera 3900, Vitacura, Región Metropolitana, 7630312 Santiago Chili","Wi-Fi gratuit|Parking|100%|Navette|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Réunions|85 Chambres","False"
"23","NH Collection Barranquilla Smartsuites Royal","Amérique","Colombie","Barranquilla","  Calle 80 No. 51 B - 25,  Barranquilla Colombie","Wi-Fi gratuit|Parking|Piscine|Navette|100%|Climatisation - Contrôle de la climatisation|Animaux|Accessibilité|Réunions|118 Chambres","False"
"24","NH Bogotá Boheme Royal","Amérique","Colombie","Bogotá"," Calle 82 No. 12-35, Chico, 110010  Bogotá Colombie","Wi-Fi gratuit|Parking|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Navette|Occasions spéciales|Réunions|66 Chambres","True"
"25","NH Bogotá Pavillon Royal","Amérique","Colombie","Bogotá","  Calle 94 # 11-45,  Bogotá Colombie","Wi-Fi gratuit|Parking|Centre sportif|100%|Animaux|Occasions spéciales|Réunions|72 Chambres","False"
"26","NH Bogotá Urban 26 Royal","Amérique","Colombie","Bogotá"," Carrera 33 Número 25F-18, 110001 Bogotá Colombie","Wi-Fi gratuit|Spa|100%|Animaux|Navette|Occasions spéciales|Réunions|118 Chambres","False"
"27","NH Bogotá Urban 93 Royal","Amérique","Colombie","Bogotá","  Calle 93B No 18 42,  Bogotá Colombie","Wi-Fi gratuit|Parking|100%|Climatisation - Contrôle de la climatisation|Animaux|Occasions spéciales|Réunions|54 Chambres","False"
"28","NH Collection Bogotá Andino Royal","Amérique","Colombie","Bogotá"," Calle 85 No 12-28,  Bogotá Colombie","Wi-Fi gratuit|Parking|Centre sportif|Navette|100%|Climatisation - Contrôle de la climatisation|Eco-friendly|Animaux|Accessibilité|Occasions spéciales|Réunions","True"
